timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252482.2034569,11.893895225833333,10.164741109583332,1.8241047741666667,-68,-79,-70,-71,-86,-77,-75,-76,-74,-79,-64,-59
1581252482.6590116,11.892925682624998,9.918398894625,1.8270743173750001,-67,-75,-200,-75,-70,-78,-74,-200,-200,-76,-200,-65
1581252483.114661,11.894077824888889,9.678430698999998,1.826640725222222,-200,-69,-71,-200,-71,-200,-76,-76,-75,-83,-69,-64
1581252483.564554,11.906,9.435109503444444,1.8304443799999999,-200,-67,-69,-200,-76,-200,-70,-83,-75,-74,-67,-67
1581252484.018451,11.909632426833333,9.173416416583333,1.8182648539166666,-69,-76,-64,-85,-71,-80,-72,-78,-75,-91,-74,-62
1581252484.478259,11.904354360500001,8.9190775575,1.8235873838333336,-71,-76,-69,-71,-72,-74,-71,-73,-89,-75,-72,-63
1581252484.9381833,11.905728617555555,8.672456161888888,1.8267571276666668,-65,-69,-70,-73,-76,-68,-82,-200,-200,-80,-200,-64
1581252485.3951597,11.91191799,8.426576666888888,1.82508201,-200,-86,-72,-200,-79,-200,-72,-71,-76,-84,-75,-78
1581252485.8468003,11.914956713545452,8.189471738090909,1.8260000000000003,-67,-73,-70,-79,-70,-77,-200,-79,-72,-87,-75,-63
1581252486.3011553,11.916058116933335,7.941873704666666,1.826999999999999,-66,-75,-69,-79,-71,-65,-72,-73,-72,-82,-77,-68
1581252486.7505934,11.923994134416665,7.680140773166669,1.8120117310833335,-66,-80,-74,-77,-74,-82,-78,-71,-72,-87,-74,-74
1581252487.2022665,11.903414068909088,7.421492415636364,1.8267070344545457,-70,-200,-74,-76,-70,-71,-72,-77,-74,-77,-73,-65
1581252487.654977,11.873994222307694,7.164445760923077,1.8114602051538462,-66,-79,-69,-73,-70,-80,-84,-76,-73,-79,-80,-72
1581252488.1092453,11.775736720307693,6.907214650384615,1.799577977307692,-67,-81,-69,-78,-75,-83,-78,-79,-68,-82,-75,-83
1581252488.5603588,11.762607432000001,6.669697820142857,1.8946177702857143,-69,-75,-76,-200,-200,-72,-200,-74,-76,-200,-72,-200
1581252489.0186253,11.728606832299999,6.4141369551,1.8793590061,-63,-76,-69,-81,-57,-74,-81,-200,-69,-78,-200,-67
1581252489.4737537,11.675291251444444,6.159671981,1.8706660024444446,-65,-74,-74,-200,-200,-200,-84,-84,-69,-86,-78,-68
1581252489.9265277,11.901184422124999,5.920111557875,1.9783407036249998,-200,-81,-75,-84,-53,-76,-200,-200,-200,-83,-81,-65
1581252490.380867,11.914832851181819,5.702045106727272,1.9271075745454547,-72,-68,-70,-80,-56,-72,-200,-76,-80,-87,-80,-63
1581252490.8342378,11.89,5.458634865,1.8989985760000003,-72,-200,-72,-85,-63,-77,-200,-75,-69,-72,-89,-59
1581252491.2922225,11.8751390378,5.2209511094,1.8841211152,-72,-80,-71,-94,-56,-75,-87,-83,-68,-200,-76,-200
1581252491.752032,11.868324222000002,4.9898048772,1.877324222,-70,-70,-200,-82,-200,-70,-80,-79,-72,-77,-77,-61
1581252492.2111118,11.861999999999998,4.7586176998,1.8621949758,-70,-71,-78,-89,-60,-71,-200,-200,-74,-72,-78,-61
1581252492.6647701,11.8630106379,4.5598414049,1.8519919542,-72,-200,-79,-92,-60,-74,-200,-85,-74,-73,-76,-62
1581252493.1154792,11.864557256181818,4.416610542909091,1.847442743818182,-71,-82,-77,-91,-61,-68,-200,-92,-73,-73,-78,-61
1581252493.5709488,11.867,4.3251037677,1.8448475666000004,-76,-83,-71,-83,-60,-68,-83,-73,-67,-200,-71,-200
1581252494.0302985,11.867999999999999,4.268217699285715,1.8421705922857146,-71,-69,-200,-200,-200,-71,-74,-200,-200,-81,-79,-67
1581252494.489067,11.868,4.232720800583334,1.8410000000000002,-70,-71,-76,-94,-59,-69,-200,-77,-68,-82,-77,-59
1581252494.9481132,11.869,4.211788138416666,1.84224237225,-73,-78,-78,-87,-64,-70,-200,-85,-70,-71,-78,-65
